id,brand,product_title,product_name,price,description,img1,img2,img3
28,"Gunn & Moore","Gunn & Moore Purist Geo II Cricket Helmet",B3P7,124,"Contemporary finish, techincally advance.
Complies with BS7928:2013 Specification for Head Protectors for Cricketers.
Improved peak strength and precisely fitted Geo.
Rigid, high impact outer shell with EPS liner withstands great force.
Complete with new dial adjuster band for ease of fitting.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P7/B3P7I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P7/B3P7I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Gunn_%26_Moore/P7/B3P7I3.jpeg
29,Kookaburra,"Kookaburra Aura Pro Cricket Bat",B4P1,998,"Specially Selected Grade 1 Unbleached English Willow.
Sweet Spot - approx. 210 to 230mm from toe.
Edge Thickness - approx. 36mm to 38mm.
Edge Profile - round.
Face Profile - rounded.
Toe Shape - standard.
Silicon Grip.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Kookaburra/P1/B4P1I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Kookaburra/P1/B4P1I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Kookaburra/P1/B4P1I3.jpeg
30,Kookaburra,"Kookaburra Ghost Pro Cricket Bat",B4P2,998,"Specially Selected Grade 1 Unbleached English Willow.
Sweet Spot - approx. 195 to 215mm from toe.
Edge Thickness - approx. 35mm to 38mm.
Edge Profile - round.
Face Profile - rounded.
Toe Shape - standard.
Quilt Grip.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Kookaburra/P2/B4P2I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Kookaburra/P2/B4P2I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Kookaburra/P2/B4P2I3.jpeg
31,Kookaburra,"Kookaburra Kahuna Pro Cricket Bat",B4P3,998,"Specially Selected Grade 1 Unbleached English Willow.
Sweet Spot - approx. 215 to 235mm from toe.
Edge Thickness - approx. 35mm to 38mm.
Edge Profile - round.
Face Profile - curved.
Toe Shape - standard.
Spira Grip.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Kookaburra/P3/B4P3I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Kookaburra/P3/B4P3I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Kookaburra/P3/B4P3I3.jpeg
32,Kookaburra,"Kookaburra Rapid Pro Cricket Bat",B4P4,998,"Specially Selected Grade 1 Unbleached English Willow.
Sweet Spot - approx. 215 to 235mm from toe.
Edge Thickness - approx. 30mm to 33mm.
Edge Profile - round.
Face Profile - round.
Toe Shape - standard.
Chevron Grip.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Kookaburra/P4/B4P4I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Kookaburra/P4/B4P4I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Kookaburra/P4/B4P4I3.jpeg
33,Kookaburra,"Kookaburra Stealth Pro Cricket Bat",B4P5,998,"Specially Selected Grade 1 Unbleached English Willow.
Sweet Spot - approx. 170 to 190mm from toe.
Edge Thickness - approx. 34mm to 40mm.
Edge Profile - round.
Face Profile - round.
Toe Shape - standard.
Grid Grip.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Kookaburra/P5/B4P5I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Kookaburra/P5/B4P5I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Kookaburra/P5/B4P5I3.jpeg
34,Kookaburra,"Kookaburra Aura Pro Cricket Batting Gloves",B4P6,138,"Grade 1+ Quality.
Rome Leather Palm, Poron XRD & High-Density Foam with Reinforced Fibre Inserts
Curved HDF with Fibre Insert Thumb End Protection and Foam Soft Fill Lining.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Kookaburra/P6/B4P6I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Kookaburra/P6/B4P6I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/Kookaburra/P6/B4P6I3.jpeg
35,"New Balance","New Balance DC Pro Players Cricket Bat",B5P1,1365,"Ideal weapon for batters aiming to play aggressive front-foot shots.
6 Piece Singapore cane/semi (33/37) oval handle. 
Low swell profile. 
Large edges and sweetspot.
Very slightly rounded toe.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/New_Balance/P1/B5P1I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/New_Balance/P1/B5P1I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/New_Balance/P1/B5P1I3.jpeg
36,"New Balance","New Balance TC Pro Players Cricket Bat",B5P2,1365,"A beautifully balanced bat perfect for versatile stroke play.
6 Piece Singapore cane/semi (34/40) oval handle. 
Mid swell profile. 
Large edges and sweetspot.
Chrome grip.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/New_Balance/P2/B5P2I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/New_Balance/P2/B5P2I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/New_Balance/P2/B5P2I3.jpeg
37,"New Balance","New Balance Heritage 1000 Max Cricket Bat",B5P3,865,"Ideal for all-round stroke play and impressive potential for powerful back-foot shots.
6 Piece Singapore cane/semi (34/40) oval handle. 
Low swell profile. 
Large edges and sweetspot.
Black grip.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/New_Balance/P3/B5P3I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/New_Balance/P3/B5P3I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/New_Balance/P3/B5P3I3.jpeg
38,"New Balance","New Balance TC 1260 Cricket Bat",B5P4,795,"Made using the finest Grade (1) English Willow.
Mid Sweet Spot position which is the most popular set up among all cricket bats.
6 Piece Singapore cane/semi (34/40) oval handle. 
Large Edges with Natural Finish.
Quality with a balanced pick up and feel for Strokeplay.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/New_Balance/P4/B5P4I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/New_Balance/P4/B5P4I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/New_Balance/P4/B5P4I3.jpeg
39,"New Balance","New Balance DC 1280 Cricket Batting Gloves",B5P5,165,"Finger Roll High Grade PU , Additional Protection on all fingers.
Plastic shields on 2 panels on lead fingers.
Premium Sheep Leather in Palm with Crosslink Foam Padding.
Sweat Band Elasticated Double Sided.
Ventilated Gusset with Side Bar Protection on both hand.",https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/New_Balance/P5/B5P5I1.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/New_Balance/P5/B5P5I2.jpeg,https://my-final-project-2025.s3.ca-central-1.amazonaws.com/Brands/New_Balance/P5/B5P5I3.jpeg
